14	13	0	16	3			
1	0.497	0.496	2	7	0.5			
2	0.081	0.495	2	1	0.5			
3	0.028	0.322	2	3	0.436			
4	0.016	0.303	3	4	0.430			
5	0.028	0.322	2	5	0.436			
6	0.016	0.303	5	6	0.430			
7	0.100	0.323	7	8	0.433			
8	0.0465	0.302	8	9	0.433			
9	0.0145	0.475	9	10	0.5			
10	0.006	0.475	10	11	0.5			
11	0.100	0.323	7	12	0.433			
12	0.0465	0.302	12	13	0.433			
13	0.0145	0.475	13	14	0.5			
14	0.006	0.475	14	15	0.5			
1	1	2	-0.5	0	-0.5	0
2	1	3	-0.5	0	-0.436	0
3	3	4	0.564	0	-0.43	0
4	1	5	-0.5	0	-0.436	0
5	5	6	0.564	0	-0.43	0
6	1	7	0.5	0	-0.433	0
7	7	8	0.567	0	-0.433	0
8	8	9	0.567	0	-0.5	0
9	9	10	0.5	0	-0.5	0
10	1	11	0.5	0	-0.433	0
11	11	12	0.567	0	-0.433	0
12	12	13	0.567	0	-0.5	0
13	13	14	0.5	0	-0.5	0
1	3	1	0	2	0	1
2	3	1	0	3	0	2
3	3	3	0	4	0	3
4	3	1	0	5	0	4
5	3	5	0	6	0	5
6	3	1	0	7	0	6
7	3	7	0	8	0	7
8	3	8	0	9	0	8
9	3	9	0	10	0	9
10	3	1	0	11	0	10
11	3	11	0	12	0	11
12	3	12	0	13	0	12
13	3	13	0	14	0	13
14	1	1	1	0	0	14
15	1	1	2	0	0	15
16	1	1	3	0	0	16
1	13	14	0.5	0	-0.5	0	1
2	9	10	0.5	0	-0.5	0	2
3	13	14	0.5	0	-0.5	0	3
